Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount
Ceh2E01gIPk,Evidencias de la evolución | Biología | Khan Academy en Español,,36,3,2258,0,9
Ih26fli0vAU,Ancient history and the Old Testament  | World History | Khan Academy,"High level overview from Ancient Egypt to Babylon with reference to stories from the Old Testament World History on Khan Academy: From prehistory to today, ...",121,10,16742,0,77
FV5on4e9LeQ,Ancient Greeks and Persians | World History | Khan Academy,Sal provides an overview of the Greco-Persian Wars and the Peloponnesian War. Watch the next lesson: ...,110,1,11257,0,9
DYC4fY23QbM,Brincando com matemática: escalas do dragão | Matemática | Khan Academy,Este vídeo ensina: Criado por Vi Hart. Assista a próxima aula: https://pt.khanacademy.org/math/math-for-fun-and-glory/vi-hart/hexaflexagons/v/hexaflexagons ...,26,0,971,0,3
YH7T6k3U0Yg,Toggler provocação de cérebro | Desafios | Matemática | Khan Academy,Este vídeo ensina: Separando aquele que fala a verdade dos alternantes! Criado por Sal Khan. Assista a próxima aula: ...,5,0,218,0,0
w1SyynfhIyk,Provocação de cérebro mentiroso verdade-teller | Desafios | Matemática | Khan Academy,Este vídeo ensina: Como obter um aconselhamento correto quando somente for possível fazer perguntas ou a uma pessoa mentirosa ou a alguém que diz ...,2,0,388,0,1
C8T-Z5BxU4U,Propriedades dos limites | Limites e continuidade | Matemática | Khan Academy,Este vídeo ensina: O que é o limite da soma das duas funções? E sobre o produto? CRIADO POR Sal Khan . Assista a próxima aula: ...,3,0,506,0,1
NPXTkj75-AM,Solving system with elimination | Algebra | Khan Academy,Worked example of solving a system of linear equations with elimination. Watch the next lesson: ...,117,4,79837,0,18
5vP19zUIo4Q,Khan Academy India Talent Search 2016,Learn more and submit your videos: http://khanacademy.org/r/indiatalentsearch Khan Academy is looking for brilliant explainers whose videos help students ...,487,7,19597,0,90
H3aGBaFgdpk,La matriz hessiana | Cálculo multivariable | Khan Academy en Español,,21,0,1100,0,0
QQJdiRzzOqg,Expresión de una forma cuadrática con una matriz | Cálculo multivariable | Khan Academy en Español,,11,2,791,0,1
L9qHsRhg564,Construa seu motor  | Descobertas e projetos | Física | Khan Academy,"Este vídeo ensina: Neste vídeo, vamos mostrar como construir um motor simples. Criado por Karl Wendt. Assista a próxima aula: ...",24,0,292,0,0
c86xr-yWcBw,A lei de voltagem de Kirchhoff | Análise de circuitos | Física | Khan Academy,Este vídeo ensina: Lei das correntes de Kirchhoff diz que as correntes que fluem em um nó deve adicionar até zero. CRIADO POR Willy McAllister . Assista a ...,8,0,385,0,2
AxaWXWd2pw4,Eutrophication and dead zones | Ecology | Khan Academy,Eutrophication and dead zones. Watch the next lesson: https://www.khanacademy.org/science/biology/ecology/biogeography/v/distribution-how Missed the ...,105,3,7388,0,5
tm2LG5ScT1g,Phosphorous cycle | Ecology | Khan Academy,Introduction to the phosphorous cycle. Watch the next lesson: ...,100,2,11884,0,7
DsCMYyQ0NWU,Nitrogen cycle  | Ecology | Khan Academy,Introduction to the nitrogen cycle Watch the next lesson: https://www.khanacademy.org/science/biology/ecology/biogeochemical-cycles/v/phosphorous-cycle ...,183,9,30320,0,27
_dYkByQ9Kmg,Carbon cycle  | Ecology | Khan Academy,Overview of the carbon cycle. Watch the next lesson: https://www.khanacademy.org/science/biology/ecology/biogeochemical-cycles/v/nitrogen-cycle Missed the ...,160,8,23589,0,17
vY2jqPgkWtc,"Pranav Jain's Khan Academy 2016 Breakthrough Challenge Submission- ""Dimensions""","A video explaining - "" Dimensions "" from the 0th dimension to the 4th dimension Video by Pranav Jain.",6,0,256,0,1
FLg-1VgeZ10,El átomo de Bohr | Química | Khan Academy en Español,,6,0,1411,0,0
4q0jFY4vzAo,Equilibrio y constante de equilibrio | Química | Khan Academy en Español,,23,2,1820,0,1
